year,Catalonia,territorial area of ​​stratification,habitual language,concept,status,value
2023,Catalunya,Comarques Centrals,total,population aged 15 and over (thousands),,358.6
2023,Catalunya,Alt Pirineu,Catalan,population aged 15 and over (thousands),,32.3
2023,Catalunya,Alt Pirineu,Spanish,population aged 15 and over (thousands),,14.7
2023,Catalunya,Alt Pirineu,Catalan and Spanish,population aged 15 and over (thousands),,5
2023,Catalunya,Alt Pirineu,Aranese,population aged 15 and over (thousands),.., 
2023,Catalunya,Alt Pirineu,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Alt Pirineu,Spanish and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Alt Pirineu,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Alt Pirineu,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Alt Pirineu,other languages,population aged 15 and over (thousands),.., 
2023,Catalunya,Alt Pirineu,other language combinations,population aged 15 and over (thousands),.., 
2023,Catalunya,Alt Pirineu,total,population aged 15 and over (thousands),,57.3
2023,Catalunya,Aran,Catalan,population aged 15 and over (thousands),,1.3
2023,Catalunya,Aran,Spanish,population aged 15 and over (thousands),,4.2
2023,Catalunya,Aran,Catalan and Spanish,population aged 15 and over (thousands),,0.4
2023,Catalunya,Aran,Aranese,population aged 15 and over (thousands),,1.5
2023,Catalunya,Aran,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Aran,Spanish and another language (or languages),population aged 15 and over (thousands),,0.7
2023,Catalunya,Aran,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Aran,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Aran,other languages,population aged 15 and over (thousands),.., 
2023,Catalunya,Aran,other language combinations,population aged 15 and over (thousands),.., 
2023,Catalunya,Aran,total,population aged 15 and over (thousands),,9.2
2023,Catalunya,Penedès,Catalan,population aged 15 and over (thousands),,150.1
2023,Catalunya,Penedès,Spanish,population aged 15 and over (thousands),,191.9
2023,Catalunya,Penedès,Catalan and Spanish,population aged 15 and over (thousands),,52.5
2023,Catalunya,Penedès,Aranese,population aged 15 and over (thousands),.., 
2023,Catalunya,Penedès,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Penedès,Spanish and another language (or languages),population aged 15 and over (thousands),,13.2
2023,Catalunya,Penedès,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Penedès,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Penedès,other languages,population aged 15 and over (thousands),.., 
2023,Catalunya,Penedès,other language combinations,population aged 15 and over (thousands),.., 
2023,Catalunya,Penedès,total,population aged 15 and over (thousands),,433.5
